Imie,Nazwisko
Piotr,Jaworski
Daniel,Felinski
Natalia,Sobolewska
Tomasz,Wozniak
Zofia,Sikora
Helena,Bliszczyk
Kacper,Klimka
Ewelia,Basiak
Piotr,Nowak 
Ewa,Biel
Dominik,Balik
Marcin,Kowalski
Izaak,Gawron
Michal,Piwonski
Joanna,Nowak
Ewa,Niewiarowska
Walenty,Rutkowski
Roman,Jarosz
Lukasz,Kotala
Bartlomiej,Konny
Janina,Giza
Dorota,Chojnacka
Bogdan,Nowakowski
Pawel,Krol
Henryk,Walczak
Stefan,Tomkow
Ireneusz,Banaszkiewicz
Zofia,Gala
Juliusz,Linek
Franciszek,Kosiorowski
Anna,Sobol
Dariusz,Reszczynski
Karol,Furmanik
Krystian,Pieniak
Wladyslaw,Olcha
Aleksandra,Majewska
Jan,Kowalewicz
Krystyna,Barszczyk
Lidia,Juzak
Joanna,Bilska
Maciej,Cisasny
Malwina,Manna
Monika,Antoszewska
Andrzej,Konik
Rafal,Kucharski
Natalia,Rybinska
Zygmunt,Jablonski
Jolanta,Tomczak
Andrzej,Kononowicz
Zygmunt,Szczygielski
Karolina,Michalec
Marcin,Bydgoski
Irena,Banaczek
Adam,Bodny
Michal,Krzysztofinski
Borys,Zimnowoda
Tadeusz,Sadowski
Paulina,Chaberek
Izabella,Wlodarczak
Anna,Potocka
Jedrzej,Kurzawinskai
Roksana,Sokolowska
Malgorzata,Albert
Sabina,Krakowiak
Tadeusz,Terlecki
Lech,Smolarz
Jacek,Huzar
Izabella,Wreczycka
Dariusz,Kratka
Krystyna,Charkow
Ewelina,Korczak
Mikolaj,Szala
Dorota,Boszcz
Edmund,Malborski
Michalina,Mol
Marcin,Wolak
Gorzegorz,Turek
Alicja,Kwiecinska
Alfred,Babalewski
Matylda,Marzec
Rafal,Ramotowski
Kinga,Pogoda
Kamil,Sokolowski
Andrzej,Barabuk
Agnieszka,Kapuscinska
Edmund,Salezy
Ryszard,Baranek
Tomasz,Krolikiewicz
Wiktor,Holynski
Kazimierz,Celejewski
Jaroslaw,Szturc
Kamil,Klimintowicz
Jerzy,Zambrowicz
Jakub,Magielewski
Adrian,Misztal
Maciej,Babicz
Barbara,Barska
Krystyna,Boss
Tomasz,Hubisz
Eleonora,Gregoruk
Zbigniew,Rodek
Wlodzislaw,Wojtowicz
Marek,Liderski
Zofia,Nowak 
Karol,Banach
Franciszek,Dziedzic
Mariola,Kucharska
Michal,Batorowicz
Aleksandra,Piotrowska
Jaroslaw,Matusz
Krystyna,Zukowska
Witold,Witkowski
Edward,Balowski
Jan,Wilczek
Krystian,Szatylowicz
Ewelina,Paca
Adam,Piotrowski
Anna,Rolek
Grzegorz,Kalamar
Jan,Witaj
Magdalena,Antos
Joanna,Wasowicz
Przemyslaw,Dobrzynski
Piotr,Kisielewicz
Jerzy,Banan
Rafal,Blocki
Bartosz,Bek
Piotr,Bentkowski
Bernard,Kregiel
Malgorzata,Cichawa
Danuta,Pietruszka
Andrzej,Korzeniewski
Zofia,Bakus
Miron,Symanski
Witold,Kornacki
Mikolaj,Grochalski
Marcin,Walczak
Jacek,Rynkiewicz
Marcin,Janeczek
Halina,Bajerek
Dominik,Zelechowski
Antoni,Buchalterz
Joanna,Majeczek
Patrycja,Majka
Bronislawa,Zwozniak
Lukasz,Ostrobramski
Piotr,Baranski
Barbara,Kaczmarek
Adam,Warka
Ewa,Pustelnik
Jerzy,Soplica
Wojciech,Kaminski
Boguslawa,Sawicka
Wincenty,Pohorecki
Maciej,Proniewicz
Wislawa,Slonina
Danuta,Krak
Janusz,Wrobel
Marek,Poludniak
Hanna,Karska
Patrycja,Dona
Szymon,Kulik
Sonia,Kozubik
Mikolaj,Mela
Ewelina,Rykala
Jedrzej,Banas
Beata,Myrcik
Anna,Ostrowska
Henryka,Blizna
Cecylia,Jaskolska
Piotr,Siudut
Arnold,Bandera
Janusz,Slomski
Alicja,Gorniak
Lukasz,Bajor
Grzegorz,Zaba
Patryk,Zychowicz
Malgorzata,Bedka
Zygmunt,Augustyniak
Adam,Grzmot
Jolanta,Guryn
Joanna,Warzecha
Alina,Nowak
Piotr,Papier
Patrycja,Fleisch
Adam,Cichowas
Dominika,Kierat
Piotr,Targosz
Michal,Szmigin
Antoni,Graczyk
Malgorzata,Balinska
Justyna,Sliwinska
Witold,Kowal
Beata,Rejkowicz
Marta,Bajerka
Karolina,Krynicka
Zofia,Cybulska
Kacper,Gajdemski
Adam,Prokop
Kleopatra,Janska
Jadwiga,Balcerowska
Joanna,Podczasiak
Hanna,Cabaj
Katarzyna,Komar
Pawel,Zmelty
Adam,Kral
Kajetan,Szczepanski
Adrian,Badera
Adelajda,Czerwinska
Alina,Miekus
Lidia,Sroda
Alicja,Danek
Danuta,Muniak
Natalia,Zawalinska
Emila,Florek
Adam,Lewik
Jadwiga,Duzy
Kacper,Billa
Jan,Witaszczyk
Michal,Katon
Janusz,Rys
Celina,Bednarska
Jan,Majewski
Janina,Witarek
Karolina,Rogowska
Oskar,Ploszaj
Anna,Marciniak
Arkadiusz,Pyzikowski
Marcin,Szumowski
Anastazja,Czarnecka
Leszek,Bareczek
Beata,Pogonska
Klaudia,Dziarska
Zofia,Mazowiecka
Rafal,Radwan
Karolina,Dabrowka
Kinga,Winkler
Brygida,Molikiewicz
Adam,Wojtas
Anna,Balcerek
Nicola,Oleksza
Walery,Susel
Janusz,Tkaczyk
Maria,Bujaczka
Olgierd,Rokpol
Adrianna,Wojtas
Jan,Orlowski
Marcin,Budzisz
Adrianna,Tarara
Anna,Marchlewska
Kamil,Tusinski
Mateusz,Pyla
Halina,Fido
Magdalena,Sznyrowska
Martyn,Milek
Janina,Ciechanowicz
Alicja,Chrzan
Andrzej,Bawar
Patryk,Barcikowski
Ewelina,Marzec
Laura,Ochota
Ewelina,Chojna
Zbigniew,Fijas
Grazyna,Sikorowicz
Ireneusz,Szydlak
Malgorzata,Bronicz
Paulina,Malecka
Krystian,Dunaj
Zbigniew,Milion
Alan,Nieszporek
Wanda,Barabasz
Dawid,Adamek
Ewa,Malkowska
Paulina,Andruszewska
Elzbieta,Kosinska
Artur,Biankowski
Malgorzata,Podsiadlo
Wioletta,Oliwa
Eustachy,Czyrnek
Boguslawa,Kowalska
Antoni,Rutkowski
Michal,Kowalski
Agnieszka,Ćmiel
Wieslaw,Helski
Aleksy,Domagalik
Katarzyna,Ogrodniczak
Maciej,Kaminski
Bronislaw,Chwala
Jozafat,Marcinkiewicz
Miron,Mewa
Zofia,Piwowarczyk
Jakub,Grzybowski
Janusz,Kowalonek
Teresa,Wrobel
Karolina,Kryniewska
Sergiusz,Migdalowski
Tomasz,Gwozdziewicz
Ryszard,Lubaszka
Jakub,Wilinski
Tadeusz,Sienkiewicz
Jakub,Hajdukiewicz
Ilona,Banasiewicz
Slawomir,Balcerowski
Tomasz,Witas
Slawomir,Kominiarz
Krystyna,Damska
Jan,Oleksy
Agata,Najowicz
Agata,Rakulska
Wiktor,Buczkowski
Alicja,Kraus
Michal,Polak
Henryk,Barylka
Barbara,Wolej
Adelajda,Klimczyk
Kamil,Baranowski
Dawid,Kruk
Anna,Kowalska
Robert,Zalewicz
Rafal,Swiderski
Edyta,Rebajn
Klara,Sokolowska
Barbara,Josiak
Beata,Walczak
Beata,Rompalska
Krystiana,Wolna
Anna,Rozalska
Czeslaw,Kawa
Dorota,Lichwa
Mateusz,Kozlowski
Mateusz,Ceglarz
Andrzej,Balicki
Halina,Malewska
Bartosz,Pawlik
Marek,Majcher
Rafal,Wozny
Mieczyslaw,Zuchowski
Ziemowit,Szczepanski
Anna,Pankiewicz
Zbigniew,Ostrowski
Daria,Antonkiewicz
Renata,Chyla
Karina,Urban
Anna,Dudek
Piotr,Chwalek
Zygfryd,Lechowski
Irena,Calka
Karol,Wiercioch
Tomasz,Cwierz
Adam,Kanarek
Beata,Tyliba
Ewa,Bartosz
Piotr,Smietanski
Slawomir,Malcharek
Lechoslaw,Bitwa
Aleksander,Polak
Janusz,Kmicic
Cezar,Pawlak
Mateusz,Symanski
Maria,Kazmierowska
Mateusz,Szwaja
Ewa,Laczna
Irena,Magiera
Pawel,Jakubowski
Karol,Szymanski
Adam,Nieweglowski
Leszek,Kieslowski
Piotr,Bielawa
Konstantyn,Sokolowski
Lech,Balickiewicz
Marek,Kwolek
Anna,Galaszewska
Agnieszka,Garbaczyk
Laura,Cedro
Rita,Pieczenczyk
Waclawa,Borkowska
Adrian,Melnik
Anna,Czernicka
Czeslaw,Balonski
Agnieszka,Banczak
Oskar,Piekarski
Wieslaw,Mazurek
Walenty,Mondkiewicz
Mateusz,Felerski
Roza,Zawodna
Wladyslawa,Bijak
Bozena,Chechelska
Adam,Sasimski
Julianna,Abacka
Krzysztof,Chojnacki
